id;booking ref;amount;method;arg1;arg2;arg3 
1;2017/abc;10000;credit card;1234123412341234;01/2020;123 
2;2017/abc2;10400;mobile pay;12345678;; 
3;2017/abc3;10400;cash;;; 
4;24_2017-12-07/30/4;50000;credit card;4916722136319146;12/2020;321
5;26_2017-12-07/29/4;60000;credit card;4916722136319146;01/2020;123 
6;27_2017-12-07/24/4;60000;cash;;; 
7;28_2017-12-07/22/4;210000;mobile pay;123432;; 
8;29_2017-12-07/9/4;200000;mobile pay;12341234;; 
9;86_2017-12-07/1/4;75000;cash;;; 
10;87_2017-12-07/1/4;95000;mobile pay;12343112;; 
11;56_2017-12-07/30/2;142500;credit card;4916722136319146;01/2020;312 
12;29_2017-12-07/30/2;118750;credit card;4916722136319146;01/2020;321 
13;28_2017-12-07/30/2;23750;credit card;4916722136319146;01/2020;123 
